feature,mean_importance,fold_occurrences
sample__aa_S__event_S__count,0.000807875907048583,5
SLC4A4,0.0008075195713900029,5
ABCA9,0.0008065030444413424,5
TLE4,0.0008026957511901855,5
CHST4,0.0008018960244953633,5
NF1,0.0008018869091756641,5
COL6A3,0.0008013877260964364,5
GRID2,0.0008011608151718974,5
LEPR,0.0008010606747120619,5
sample__aa_H__event_S__count,0.0008006597752682864,5
PTPN21,0.0007977189205121249,5
STAB1,0.0007976818189490587,5
GBP4,0.000797484302893281,5
EIF3A,0.0007968974765390158,5
TRIO,0.0007967512006871402,5
PCDHB1,0.0007962976233102381,5
LATS1,0.0007962504809256643,5
CLCA2,0.0007960520742926747,5
USP16,0.0007956759654916823,2
NT5E,0.0007946236582938582,2
SCAF4,0.0007941074145492166,5
sample__aa_R__event_MT__count,0.0007936559035442769,5
RYR1,0.0007933521817903965,5
sample__aa_D__event_M__count,0.0007916877395473421,5
CBLB,0.0007916110975202173,5
MYH7,0.0007901558419689536,5
CELSR2,0.0007901036879047751,5
SLC12A2,0.0007900716154836118,5
HSPA1L,0.0007900564814917743,5
SCN10A,0.0007884941063821316,5
CDH16,0.0007882361300289631,5
sample__aa_L__event_M__count,0.0007868789019994437,5
EFEMP1,0.0007862827682401985,5
ADCY2,0.0007861322665121406,5
SMAD2,0.0007861015968956053,5
sample__aa_E__event_S__count,0.0007792159565724432,5
TNFRSF11B,0.0007781678636092692,5
SF3B3,0.000775927968788892,5
WDR90,0.0007754724007099867,5
PGK2,0.0007754113525152206,5
sample__aa_K__event_S__count,0.0007754012709483505,5
PKHD1,0.0007751206867396832,5
sample__aa_V__event_FS__count,0.0007733256090432406,5
CENPF,0.0007727211457677185,5
KCNQ2,0.00077082424541004,5
NEGR1,0.0007686049095354975,5
sample__aa_D__event_FS__count,0.0007679078262299299,5
PCDH7,0.0007666354824323208,5
PDHA2,0.0007663507945835591,5
DHX16,0.0007656073896214366,5
ABI3BP,0.0007649451086763293,5
EPHX1,0.0007628850289620459,4
KEL,0.0007623721496202052,5
BAZ2A,0.0007621860946528614,5
CFTR,0.0007613922818563879,5
ENPEP,0.0007584384991787374,5
CR2,0.0007564336876384914,5
SP1,0.0007561461068689823,5
TLR7,0.0007560406345874071,5
COL12A1,0.0007535317970905453,5
CYLD,0.0007514987257309258,5
SPTB,0.0007514958735555411,5
HRG,0.000751152285374701,5
MYH9,0.0007507244474254549,5
GRM8,0.000750519271241501,5
THBS2,0.0007499933592043817,5
RHBDF2,0.0007494301698898198,4
SAMD9L,0.0007481669308617711,5
PMEPA1,0.0007480022613890469,1
FGG,0.0007479040825273842,5
NCOA6,0.0007478240178897977,5
TACR3,0.0007469829986803233,5
sample__aa_H__event_M__count,0.000745614105835557,5
NADSYN1,0.0007413118922462066,3
PLCL1,0.0007397152832709253,5
sample__aa_E__event_FS__count,0.0007394685526378453,5
PLOD2,0.0007389226695522666,5
DMD,0.000734961312264204,5
sample__aa_W__event_MT__count,0.0007348978659138083,5
A2M,0.0007344727637246251,5
CACNA1B,0.0007329430023673922,5
TG,0.0007320326170884073,5
GFRA1,0.0007309486041776836,5
REV3L,0.0007309057749807834,5
sample__aa_D__event_S__count,0.0007305733393877745,5
MID1,0.000729274470359087,1
CLVS1,0.0007290125591680408,5
CENPE,0.0007288875640369952,5
sample__aa_T__event_M__count,0.0007282517559360713,5
PIK3CG,0.0007278771430719644,5
ABCC8,0.0007275034382473678,5
AHNAK,0.0007269455585628748,5
TIAM1,0.0007266651897225529,5
ARFGEF2,0.0007263014558702707,5
AR,0.0007262006925884634,5
SFRP4,0.0007259790785610676,5
sample__aa_Q__event_S__count,0.0007249262067489326,5
ADAM2,0.0007207549992017448,5
ABCA2,0.0007200799067504704,5
HYOU1,0.0007190415461082011,5
CXXC1,0.0007184823392890394,5
sample__aa_G__event_S__count,0.0007175984850618988,5
RASAL2,0.0007164344075135887,5
PTPRC,0.0007160905981436372,5
SPARCL1,0.0007160618915804662,4
UNC5C,0.0007146494812332093,5
sample__aa_R__event_FS__count,0.0007142369751818479,5
sample__aa_Y__event_S__count,0.0007142015034332872,5
SULT1B1,0.0007138802320696414,1
BCAR3,0.0007134056359063834,4
COL1A2,0.000712163170101121,5
SLC12A3,0.0007117896224372089,5
ITSN1,0.0007113099913112819,5
DOCK9,0.0007099088921677321,5
SLC29A3,0.0007093262684065849,4
PAX4,0.0007092393003404141,5
EIF4G3,0.0007084870536345989,5
ITGAV,0.0007079061353579164,5
GAD2,0.0007022606732789427,5
PREX1,0.0007004144135862589,5
NCSTN,0.0007001054065767676,5
MET,0.0006999085599090904,5
AIFM3,0.0006994158669840544,5
CYP11B2,0.0006990595487877726,5
COL6A1,0.0006988513516262174,5
sample__aa_P__event_MT__count,0.0006984241306781768,5
sample__aa_F__event_M__count,0.0006977089971769602,5
MYO15A,0.0006977061508223415,5
LYN,0.0006976696080528199,5
sample__aa_K__event_FS__count,0.0006962710293009877,5
MYH1,0.0006958753685466946,5
sample__aa_Y__event_ST__count,0.0006954671465791762,5
CSTF2,0.0006945953646209091,2
BRS3,0.0006943111839063931,4
ITGB3,0.0006942537846043706,5
RTN1,0.0006940645107533783,5
NIPBL,0.000693631696049124,5
ARHGAP5,0.0006928495480678975,5
CLIP1,0.000692719710059464,5
SAMD9,0.0006923611159436405,5
sample__aa_V__event_MT__count,0.0006899738684296608,5
sample__aa_I__event_FS__count,0.0006877778680063785,5
VCAM1,0.0006873123464174568,5
sample__aa_L__event_FS__count,0.0006855657265987247,5
sample__aa_W__event_ST__count,0.000684924068627879,5
ETV5,0.0006839556541914741,3
IRS4,0.0006837461842224002,5
SMC1A,0.0006829154561273753,5
RELN,0.0006823537813033908,5
sample__aa_Q__event_FS__count,0.000681990449083969,5
PABPC1,0.0006812162348069251,5
IGSF1,0.0006809294922277331,5
PCNT,0.0006808776000980288,5
SNAP91,0.0006776950438506901,5
NOTCH4,0.0006775779067538679,5
sample__aa_V__event_S__count,0.0006769246014300734,5
NOTCH3,0.0006769070168957114,5
COL16A1,0.000676829949952662,5
PPP2R5B,0.0006763432640582324,5
USP8,0.000675610697362572,5
F13A1,0.0006755402311682702,5
TCF7L2,0.0006737278017681092,5
CFH,0.0006728319334797561,5
GSN,0.0006726275896653533,3
FETUB,0.0006718655737737814,3
LSS,0.0006710925372317433,1
ACSL4,0.000669648835901171,5
sample__aa_T__event_MT__count,0.0006689171015750617,5
AGRN,0.0006664521963102743,5
SCN9A,0.000666181358974427,5
SYMPK,0.0006649719580309466,5
ATF6,0.0006630106508964673,5
HUWE1,0.0006624411267694086,5
RPS6KA3,0.0006622416432946921,5
CEL,0.0006619385676458478,5
EVI5,0.0006611870543565601,5
ABCD1,0.000660388806136325,5
AXL,0.0006599724176339806,5
KIF20B,0.0006579113192856312,5
STS,0.0006576755768037401,4
CHST6,0.0006570213416125625,5
NLRC5,0.0006564767099916935,5
CAPN9,0.0006563251190527808,4
COL15A1,0.0006551892613060773,5
ABCA8,0.0006539854453876615,5
DPYSL4,0.0006521453382447362,5
KLHL24,0.0006519902031868696,5
PLVAP,0.0006513811880722642,5
TCHH,0.0006512126710731536,5
MTOR,0.0006509922095574439,5
MYH8,0.00065094034653157,5
FN1,0.0006492084707133472,5
REG1A,0.0006467966304626316,4
FBN2,0.0006449096603319049,5
sample__event_MT__one_gene_count,0.0006441332341637462,5
DDX10,0.0006432939553633332,1
PCSK2,0.0006422187900170684,5
CPB1,0.0006417823024094105,4
NR4A2,0.0006403013598173857,5
PRKCG,0.000639936508378014,5
F13B,0.0006399036967195571,5
APP,0.0006397090386599302,5
ITPR2,0.0006383206229656935,5
SCNN1A,0.000637996398533384,3
PHEX,0.0006379824830219149,5
sample__aa_Y__event_FS__count,0.0006364985951222479,5
STEAP3,0.0006321366876363754,5
NFKBIZ,0.0006313333986327052,5
KDM6B,0.0006309349089860916,5
ZAP70,0.0006301583023741841,5
ARHGAP10,0.0006295379484072327,5
NCAM1,0.0006291556579526514,5
ADCY9,0.0006284523697104305,5
PIGQ,0.0006280325469560921,2
CUL3,0.0006273723323829472,5
ZNF292,0.0006256666441913694,5
HKDC1,0.0006249253347050399,5
COL11A1,0.000624346494441852,5
DOCK2,0.0006236764311324805,5
TP63,0.0006236155924852938,5
ANK1,0.0006225105375051498,5
DCT,0.0006225049844942987,5
TRO,0.0006223014381248504,5
MARK4,0.0006209243787452578,5
LMAN1,0.0006198285263963044,1
ATP6V0A1,0.0006166348426631885,5
ROCK1,0.0006144749640952796,5
EPHB4,0.000614047795534134,5
ZFPM2,0.0006137274787761271,5
VCPIP1,0.0006120364821981638,5
MMP8,0.0006111538968980312,2
sample__aa_T__event_FS__count,0.0006105398817453534,5
MTHFR,0.0006098681245930493,5
FGR,0.0006098530914944907,3
ZNFX1,0.0006091194925829768,5
SIPA1L1,0.0006089225935284048,5
HRH1,0.0006079708342440427,5
HGFAC,0.0006076873978599906,5
ACTN2,0.0006075801677070559,5
VCAN,0.0006075146375223994,5
LIFR,0.0006068855873309076,5
IL17RA,0.0006059752544388175,5
RPTOR,0.000605004740646109,5
NID2,0.0006023249181453139,5
CLCN2,0.0006019622203893959,5
HGF,0.0005989149154629559,5
RNF213,0.000598506280221045,5
PTPN11,0.0005984471121337265,5
FLII,0.000597646099049598,5
HDAC9,0.0005969370307866484,5
AMPH,0.0005964002222754062,5
